,x,y,types
0,1161.11337076,6178.3830543,Vip
1,1162.91337076,6113.1330543,Vip
2,1168.31337076,6046.0830543,Pvalb
3,1163.81337076,6202.683054300001,Sst
4,1166.96337076,6083.8830543,Vip
5,1171.46337076,6151.3830543,Vip
6,1173.26337076,6206.733054300001,Lamp5
7,1184.06337076,6221.5830543,L5 IT
8,1193.96337076,6186.483054300001,Vip
9,1197.11337076,6076.683054300001,Vip
10,1203.41337076,6029.433054300001,Vip
11,1206.11337076,6047.8830543,Sst
12,1203.86337076,6141.933054300001,Sst
13,1206.11337076,6228.783054300001,Sst
14,1209.26337076,6207.6330543,Sst
15,1215.56337076,6093.3330543,Vip
16,1220.06337076,6151.8330543,Sst
17,1221.41337076,6175.683054300001,Sst
18,1223.21337076,6230.5830543,L6 IT
19,1224.56337076,6127.533054300001,Vip
20,1228.16337076,6054.183054300001,Sst
21,1235.81337076,6113.5830543,Sst
22,1242.11337076,6209.433054300001,Sst
23,1244.81337076,6157.233054300001,Lamp5
24,1245.71337076,6185.5830543,L5 PT
25,1252.91337076,6143.283054300001,L6 IT
26,1253.36337076,6074.8830543,Vip
27,1258.76337076,6173.8830543,Vip
28,1259.21337076,6231.033054300001,Lamp5
29,1264.16337076,6209.433054300001,Pvalb
30,1269.11337076,6073.983054300001,Vip
31,1270.91337076,6094.683054300001,Sst
32,1273.16337076,6225.6330543,Lamp5
33,1284.86337076,6127.533054300001,Sst
34,1283.96337076,6032.1330543,Sst
35,1283.51337076,6154.533054300001,L5 NP
36,1288.46337076,6089.283054300001,L5 NP
37,1293.86337076,6210.783054300001,L6 IT
38,1296.11337076,6149.1330543,Lamp5
39,1295.21337076,6062.733054300001,L6b
40,1301.51337076,6103.233054300001,L5 PT
41,1305.11337076,6022.683054300001,Lamp5
42,1305.56337076,6180.183054300001,Sst
43,1301.96337076,6193.683054300001,Sst
44,1315.01337076,6083.8830543,Sst
45,1313.66337076,6231.933054300001,Sst
46,1314.11337076,6161.283054300001,L5 NP
47,1316.36337076,6128.8830543,L5 PT
48,1317.26337076,6199.983054300001,Pvalb
49,1313.66337076,6085.233054300001,Lamp5
50,1321.31337076,6220.233054300001,L6 IT
51,1323.56337076,6150.933054300001,Lamp5
52,1328.51337076,6024.033054300001,Pvalb
53,1335.26337076,6050.1330543,Vip
54,1340.21337076,6122.1330543,Vip
55,1342.01337076,6100.533054300001,L6 PT
56,1351.01337076,6127.0830543,Pvalb
57,1357.76337076,6073.0830543,Vip
58,1367.21337076,6030.3330543,L6 IT
59,1367.66337076,6053.283054300001,L6b
60,1367.66337076,5730.6330543,Sst
61,1367.66337076,5745.933054300001,Sst
62,1369.91337076,5786.8830543,Pvalb
63,1369.46337076,5829.6330543,Sst
64,1370.36337076,6094.233054300001,Vip
65,1375.76337076,6117.6330543,L6 PT
