,x,y,types
0,9261.0352527392,15447.259474522,L6 PT
1,6019.329058216343,20710.346862955572,Sst
2,7741.731518763635,9911.947365413636,Sst
3,20329.880689607937,7044.65787966778,L5 IT
4,15485.972999372269,8216.108508881362,L4
5,5229.68686719054,9931.096377227705,L2/3 IT
6,5101.374629492214,10199.435497392813,L2/3 IT
7,17765.036838873682,11259.687947918415,L6 PT
8,14248.33380069181,8893.747490851365,Pvalb
9,19117.39760437389,5528.256095677873,Vip
10,17269.73311864,12526.672911140464,L6 PT
11,18450.216789496008,5062.1574317109635,L2/3 IT
12,17147.432191715114,7263.625610380232,Vip
13,11253.70363647319,10028.651022462951,L4
14,4056.337646801388,13241.631123142883,Pvalb
15,4863.332472436803,12692.641364430556,L4
16,16708.3047820059,4848.36961625093,L2/3 IT
17,14593.814865591048,10152.291337886867,Pvalb
18,13114.143243914023,8677.831442823779,L4
19,8273.263202557999,9620.169453253997,Sst
20,18930.949079244318,15365.762104128406,Sst
21,13899.065782948146,4463.800693877776,Sst
22,6641.745009892346,11884.873697228491,L4
23,12682.38436293039,13871.256730159852,L6 PT
24,12029.665304568836,5712.065946382608,L2/3 IT
25,4054.579649033059,11005.221175227658,Pvalb
26,19010.02045639079,11896.623685122337,L6 PT
27,19541.312210755616,6878.010156490951,Sst
28,8230.445000626569,13490.917714035848,Lamp5
29,7544.6927318289345,16994.558289854343,L6 PT
30,1991.648371195236,10088.454292033333,Pvalb
31,14615.784076685231,12644.449268204695,L6 PT
32,19460.01656722456,4830.917871248684,L2/3 IT
33,9703.310100123132,7493.220611975179,Sst
34,13517.649330821609,9438.34006207609,L5 IT
35,5944.149562198371,15170.145473636341,Sst
36,7534.999470824999,7561.089367581249,Pvalb
37,16406.625032744898,6521.712877010202,L4
38,17956.811098617392,6778.21149512536,L4
39,6944.402193788557,15620.013150541905,L5 IT
40,18972.81719379125,9180.697506912573,L6 IT
41,19367.263258635583,6522.6004734136495,Pvalb
42,12564.47388797472,11362.721101956118,Pvalb
43,2312.330160649406,13152.90631736786,L2/3 IT
