,x,y,types
0,18064,11218,L4
1,17940,11214,L4
2,17938,11497,L4
3,17999,11419,L4
4,17338,11432,L4
5,17306,11474,L4
6,18330,11816,L4
7,17734,11679,L4
8,17724,11779,L4
9,17545,11742,L4
10,18046,11928,L4
11,17265,11838,L4
12,16660,11838,L4
13,16697,11997,L4
14,16982,12152,L4
15,16411,12182,L4
16,16429,12014,L4
17,15683,12157,L4
18,17347,12174,L4
19,17261,12251,L4
20,16771,12221,L4
21,16017,12194,L4
22,16055,12262,L4
23,16110,12177,L4
24,16063,12301,L4
25,16470,12486,L4
26,15748,12335,L4
27,15657,12384,L4
28,15736,12503,L4
29,15832,12497,L4
30,15704,12517,L4
31,15790,12523,L4
32,17888,12651,L4
33,16600,12569,L4
34,16668,12657,L4
35,16069,12541,L4
36,15956,12643,L4
37,16145,12587,L4
38,15323,12648,L4
39,15336,12575,L4
40,14729,12539,L4
41,15722,12904,L4
42,15101,12860,L4
43,15395,13102,L4
44,15451,13057,L4
45,15343,12927,L4
46,14860,12945,L4
47,14703,13068,L4
48,15681,13094,L4
49,15044,13198,L4
50,15059,13109,L4
51,15110,13066,L4
52,15057,13251,L4
53,15542,13347,L4
54,14721,13362,L4
55,14734,13338,L4
56,14754,13267,L4
57,13568,13289,L4
58,13924,13498,L4
59,17984,13774,L4
60,14706,13701,L4
61,14759,13833,L4
62,14237,13724,L4
63,13457,13653,L4
64,17763,13903,L4
65,15052,13824,L4
66,14545,13819,L4
67,14583,13953,L4
68,14562,13848,L4
69,13913,13869,L4
70,13782,14015,L4
71,13786,13916,L4
72,14778,14034,L4
73,14781,14146,L4
74,14844,14123,L4
75,14147,14019,L4
76,14167,14076,L4
77,14184,14207,L4
78,17653,14203,L4
79,15847,14337,L4
80,16022,14877,L4
81,16960,10630,Vip
82,16610,10792,Vip
83,17608,10890,Vip
84,16424,10900,Vip
85,16429,11024,Vip
86,17912,11102,Vip
87,18059,11195,Vip
88,16799,11180,Vip
89,16651,11271,Vip
90,16717,11278,Vip
91,16687,11228,Vip
92,16687,11150,Vip
93,16619,11258,Vip
94,16767,11256,Vip
95,16045,11092,Vip
96,15968,11104,Vip
97,16349,11418,Vip
98,18008,11559,Vip
99,17260,11556,Vip
100,16732,11439,Vip
101,15982,11500,Vip
102,18219,11793,Vip
103,17551,11675,Vip
104,17680,11601,Vip
105,17033,11786,Vip
106,16911,11752,Vip
107,15725,11735,Vip
108,17915,11830,Vip
109,16777,11958,Vip
110,16038,11830,Vip
111,16095,11854,Vip
112,15473,12007,Vip
113,18345,12106,Vip
114,18251,12085,Vip
115,18239,12006,Vip
116,18280,12116,Vip
117,17661,12015,Vip
118,17009,12159,Vip
119,16987,11967,Vip
120,17074,12055,Vip
121,15123,12179,Vip
122,15107,12048,Vip
123,14440,12073,Vip
124,18498,12209,Vip
125,18048,12205,Vip
126,18019,12179,Vip
127,17277,12193,Vip
128,17426,12327,Vip
129,16700,12366,Vip
130,18294,12414,Vip
131,18186,12391,Vip
132,16911,12501,Vip
133,16365,12344,Vip
134,15707,12349,Vip
135,15044,12355,Vip
136,15017,12521,Vip
137,18675,12550,Vip
138,17966,12689,Vip
139,17971,12602,Vip
140,17336,12531,Vip
141,17392,12637,Vip
142,16746,12535,Vip
143,16093,12678,Vip
144,16106,12524,Vip
145,16126,12630,Vip
146,15352,12677,Vip
147,15495,12725,Vip
148,14839,12660,Vip
149,14140,12519,Vip
150,14262,12672,Vip
151,14199,12587,Vip
152,14130,12525,Vip
153,18876,12853,Vip
154,18809,12809,Vip
155,19021,12859,Vip
156,16363,12709,Vip
157,16322,12855,Vip
158,15218,12797,Vip
159,14549,12861,Vip
160,17953,12927,Vip
161,17231,13049,Vip
162,17338,12997,Vip
163,16087,12977,Vip
164,14774,13070,Vip
165,14074,12923,Vip
166,14104,12900,Vip
167,18956,13160,Vip
168,18911,13239,Vip
169,18274,13163,Vip
170,17544,13215,Vip
171,17090,13158,Vip
172,16923,13110,Vip
173,15640,13222,Vip
174,14493,13133,Vip
175,14541,13159,Vip
176,14435,13220,Vip
177,13783,13202,Vip
178,13955,13174,Vip
179,13886,13164,Vip
180,13795,13163,Vip
181,13805,13283,Vip
182,13836,13279,Vip
183,19245,13252,Vip
184,18504,13309,Vip
185,18496,13327,Vip
186,17862,13352,Vip
187,17302,13416,Vip
188,16785,13394,Vip
189,16135,13441,Vip
190,15968,13384,Vip
191,13616,13415,Vip
192,18822,13538,Vip
193,18291,13487,Vip
194,17749,13484,Vip
195,17704,13529,Vip
196,17655,13556,Vip
197,17043,13591,Vip
198,17053,13537,Vip
199,17132,13560,Vip
200,16371,13428,Vip
201,15024,13505,Vip
202,15043,13628,Vip
203,15123,13651,Vip
204,14474,13606,Vip
205,13866,13587,Vip
206,17971,13714,Vip
207,18000,13694,Vip
208,17267,13700,Vip
209,17320,13802,Vip
210,16648,13830,Vip
211,16115,13822,Vip
212,16119,13736,Vip
213,15508,13658,Vip
214,14826,13638,Vip
215,14874,13780,Vip
216,13615,13783,Vip
217,17573,13942,Vip
218,17053,13861,Vip
219,15768,13838,Vip
220,15852,13874,Vip
221,15738,14027,Vip
222,15081,14021,Vip
223,13907,14005,Vip
224,13767,13953,Vip
225,17925,14122,Vip
226,17330,14148,Vip
227,16613,14097,Vip
228,16622,14159,Vip
229,15357,14167,Vip
230,15547,14107,Vip
231,15444,14084,Vip
232,15418,14003,Vip
233,15447,14151,Vip
234,14735,14165,Vip
235,14761,14078,Vip
236,14190,14071,Vip
237,14999,14280,Vip
238,17275,14493,Vip
239,16688,14472,Vip
240,16097,14504,Vip
241,16059,14573,Vip
242,15985,14373,Vip
243,15498,14485,Vip
244,16325,14646,Vip
245,15985,14810,Vip
246,16179,14790,Vip
247,15824,14988,Vip
248,15859,14967,Vip
249,15111,15049,Vip
250,15473,15207,Vip
251,15335,15253,Vip
252,15378,15087,Vip
253,15832,15450,Vip
254,16683,10755,Lamp5
255,17017,10940,Lamp5
256,18018,11184,Lamp5
257,17935,11247,Lamp5
258,17275,11128,Lamp5
259,16038,11165,Lamp5
260,16025,11124,Lamp5
261,15942,11145,Lamp5
262,17698,11356,Lamp5
263,16386,11296,Lamp5
264,17872,11468,Lamp5
265,17397,11447,Lamp5
266,16782,11472,Lamp5
267,18169,11702,Lamp5
268,16343,11605,Lamp5
269,16380,11695,Lamp5
270,15740,11773,Lamp5
271,15830,11734,Lamp5
272,15838,11761,Lamp5
273,17987,12008,Lamp5
274,17994,11971,Lamp5
275,17930,12004,Lamp5
276,17401,11891,Lamp5
277,16592,11842,Lamp5
278,15997,11969,Lamp5
279,15495,11951,Lamp5
280,18247,12117,Lamp5
281,18217,11996,Lamp5
282,16987,12106,Lamp5
283,17006,12193,Lamp5
284,14375,12119,Lamp5
285,14394,12104,Lamp5
286,14484,12028,Lamp5
287,18577,12201,Lamp5
288,18644,12261,Lamp5
289,18582,12153,Lamp5
290,18679,12338,Lamp5
291,18625,12342,Lamp5
292,18507,12325,Lamp5
293,18036,12168,Lamp5
294,17229,12287,Lamp5
295,16086,12346,Lamp5
296,14800,12258,Lamp5
297,17617,12444,Lamp5
298,17663,12337,Lamp5
299,16427,12538,Lamp5
300,15799,12443,Lamp5
301,15807,12364,Lamp5
302,15191,12528,Lamp5
303,16773,12646,Lamp5
304,16707,12660,Lamp5
305,15529,12676,Lamp5
306,15404,12522,Lamp5
307,14207,12731,Lamp5
308,14130,12644,Lamp5
309,14258,12587,Lamp5
310,18859,12743,Lamp5
311,19032,12823,Lamp5
312,16365,12833,Lamp5
313,18497,13015,Lamp5
314,18606,13075,Lamp5
315,18497,12948,Lamp5
316,18602,13007,Lamp5
317,17433,12971,Lamp5
318,14080,12981,Lamp5
319,14118,12913,Lamp5
320,14220,13095,Lamp5
321,18832,13173,Lamp5
322,16931,13145,Lamp5
323,17022,13229,Lamp5
324,16956,13127,Lamp5
325,16998,13265,Lamp5
326,15760,13195,Lamp5
327,15131,13187,Lamp5
328,14493,13280,Lamp5
329,14464,13288,Lamp5
330,14553,13226,Lamp5
331,16588,13388,Lamp5
332,16674,13310,Lamp5
333,15474,13306,Lamp5
334,15388,13262,Lamp5
335,13575,13436,Lamp5
336,17551,13586,Lamp5
337,17722,13574,Lamp5
338,16912,13498,Lamp5
339,16491,13506,Lamp5
340,16329,13440,Lamp5
341,14999,13569,Lamp5
342,13899,13630,Lamp5
343,17429,13656,Lamp5
344,17394,13698,Lamp5
345,16753,13638,Lamp5
346,16175,13716,Lamp5
347,15993,13636,Lamp5
348,16154,13759,Lamp5
349,16132,13646,Lamp5
350,16015,13809,Lamp5
351,14893,13694,Lamp5
352,14215,13808,Lamp5
353,18224,13983,Lamp5
354,18179,13946,Lamp5
355,18307,13897,Lamp5
356,17120,13911,Lamp5
357,15114,13926,Lamp5
358,15097,13799,Lamp5
359,15212,13921,Lamp5
360,13835,13819,Lamp5
361,15958,14114,Lamp5
362,15383,14086,Lamp5
363,14713,14013,Lamp5
364,16288,14217,Lamp5
365,15682,14209,Lamp5
366,17394,14467,Lamp5
367,15327,14404,Lamp5
368,15468,14449,Lamp5
369,15496,14401,Lamp5
370,15324,14446,Lamp5
371,15496,14542,Lamp5
372,15429,14346,Lamp5
373,15509,14447,Lamp5
374,17077,14538,Lamp5
375,16964,14553,Lamp5
376,16952,14622,Lamp5
377,15780,14527,Lamp5
378,15695,14631,Lamp5
379,16012,14864,Lamp5
380,14878,14880,Lamp5
381,15957,15170,Lamp5
382,17874,11155,L5 NP
383,17534,11323,L5 NP
384,18021,11484,L5 NP
385,18281,11664,L5 NP
386,18185,12500,L5 NP
387,18314,12509,L5 NP
388,18238,12494,L5 NP
389,17926,12710,L5 NP
390,18052,12619,L5 NP
391,16371,12874,L5 NP
392,18053,13018,L5 NP
393,17953,12965,L5 NP
394,16724,13017,L5 NP
395,16631,13022,L5 NP
396,16291,13145,L5 NP
397,15757,13103,L5 NP
398,17885,13429,L5 NP
399,15076,13472,L5 NP
400,16778,13685,L5 NP
401,14831,13661,L5 NP
402,17330,14061,L5 NP
403,14201,13988,L5 NP
404,16356,14542,L5 NP
405,15226,14641,L5 NP
406,17097,10678,Sst
407,17590,10992,Sst
408,17539,10945,Sst
409,16449,11075,Sst
410,17877,11242,Sst
411,16059,11169,Sst
412,17675,11422,Sst
413,17710,11262,Sst
414,16899,11319,Sst
415,16441,11310,Sst
416,16304,11376,Sst
417,17269,11477,Sst
418,16642,11556,Sst
419,18274,11732,Sst
420,17616,11633,Sst
421,17634,11817,Sst
422,17125,11694,Sst
423,16377,11682,Sst
424,15088,11615,Sst
425,18026,11913,Sst
426,17967,11889,Sst
427,17906,11794,Sst
428,15397,11929,Sst
429,17741,12021,Sst
430,17106,12079,Sst
431,17046,11975,Sst
432,17899,12179,Sst
433,17918,12353,Sst
434,17353,12377,Sst
435,16118,12360,Sst
436,15972,12260,Sst
437,18358,12385,Sst
438,18288,12382,Sst
439,17062,12406,Sst
440,16408,12550,Sst
441,18545,12713,Sst
442,18541,12675,Sst
443,17341,12739,Sst
444,16686,12600,Sst
445,16724,12635,Sst
446,16659,12597,Sst
447,16005,12582,Sst
448,15513,12638,Sst
449,18954,12892,Sst
450,18993,12787,Sst
451,18842,12790,Sst
452,18978,12738,Sst
453,18228,12819,Sst
454,18347,12903,Sst
455,17086,12753,Sst
456,16450,12857,Sst
457,15631,12822,Sst
458,15689,12747,Sst
459,15181,12799,Sst
460,17993,13028,Sst
461,17333,13106,Sst
462,17277,12980,Sst
463,16698,13078,Sst
464,14844,12902,Sst
465,14737,12927,Sst
466,14876,13040,Sst
467,14132,13093,Sst
468,14102,13013,Sst
469,18869,13254,Sst
470,18946,13060,Sst
471,18293,13246,Sst
472,18343,13151,Sst
473,18172,13190,Sst
474,18220,13181,Sst
475,16908,13154,Sst
476,16366,13061,Sst
477,15731,13069,Sst
478,15806,13131,Sst
479,15188,13166,Sst
480,19290,13293,Sst
481,19170,13273,Sst
482,18494,13371,Sst
483,18066,13360,Sst
484,15985,13278,Sst
485,15378,13418,Sst
486,15339,13291,Sst
487,14776,13389,Sst
488,13457,13454,Sst
489,18968,13441,Sst
490,18291,13626,Sst
491,17076,13623,Sst
492,16932,13485,Sst
493,16982,13634,Sst
494,16367,13575,Sst
495,15780,13657,Sst
496,15094,13480,Sst
497,14426,13461,Sst
498,14453,13601,Sst
499,14386,13612,Sst
500,14448,13442,Sst
501,13830,13658,Sst
502,17989,13607,Sst
503,17948,13830,Sst
504,17401,13667,Sst
505,16793,13678,Sst
506,16649,13685,Sst
507,16723,13619,Sst
508,16055,13640,Sst
509,14820,13704,Sst
510,13467,13749,Sst
511,18329,13853,Sst
512,18230,13837,Sst
513,18273,13867,Sst
514,17666,14009,Sst
515,16961,13908,Sst
516,16471,13898,Sst
517,16370,13988,Sst
518,15075,13883,Sst
519,13899,13991,Sst
520,18011,14088,Sst
521,16722,14109,Sst
522,15968,14064,Sst
523,16089,14082,Sst
524,16049,14033,Sst
525,16128,14101,Sst
526,15987,14024,Sst
527,16173,14117,Sst
528,15353,14091,Sst
529,15539,14065,Sst
530,17097,14349,Sst
531,15677,14333,Sst
532,15220,14236,Sst
533,15065,14241,Sst
534,15055,14262,Sst
535,17242,14428,Sst
536,17223,14453,Sst
537,16625,14402,Sst
538,16587,14479,Sst
539,16729,14372,Sst
540,15966,14508,Sst
541,16010,14373,Sst
542,16950,14560,Sst
543,16323,14731,Sst
544,16395,14602,Sst
545,15852,14677,Sst
546,15147,14652,Sst
547,15173,14604,Sst
548,15707,15105,Sst
549,15176,15089,Sst
550,15402,15173,Sst
551,15357,15117,Sst
552,15473,15288,Sst
553,15679,15440,Sst
554,15426,11549,L5 IT
555,18380,11656,L5 IT
556,18209,11652,L5 IT
557,18359,11747,L5 IT
558,17004,11717,L5 IT
559,17229,11853,L5 IT
560,17266,11987,L5 IT
561,16656,11951,L5 IT
562,16001,11882,L5 IT
563,17655,12193,L5 IT
564,17698,12158,L5 IT
565,16360,12195,L5 IT
566,17944,12300,L5 IT
567,17393,12335,L5 IT
568,17251,12313,L5 IT
569,17444,12242,L5 IT
570,18212,12424,L5 IT
571,18267,12375,L5 IT
572,17605,12551,L5 IT
573,17535,12430,L5 IT
574,16966,12355,L5 IT
575,17079,12534,L5 IT
576,16450,12421,L5 IT
577,17419,12578,L5 IT
578,16611,12680,L5 IT
579,16677,12701,L5 IT
580,18317,12920,L5 IT
581,18389,12759,L5 IT
582,16408,12711,L5 IT
583,15169,12715,L5 IT
584,18549,13040,L5 IT
585,16774,12965,L5 IT
586,16674,13097,L5 IT
587,16670,12957,L5 IT
588,16038,13087,L5 IT
589,16021,12993,L5 IT
590,16346,13197,L5 IT
591,15772,13080,L5 IT
592,15757,13153,L5 IT
593,17328,13334,L5 IT
594,15977,13440,L5 IT
595,16041,13247,L5 IT
596,16001,13316,L5 IT
597,15316,13347,L5 IT
598,15698,13586,L5 IT
599,15719,13452,L5 IT
600,15078,13445,L5 IT
601,18046,13776,L5 IT
602,17288,13709,L5 IT
603,15345,13797,L5 IT
604,14109,13805,L5 IT
605,16416,13813,L5 IT
606,15678,13959,L5 IT
607,14257,14066,L5 IT
608,16384,14313,L5 IT
609,15134,14213,L5 IT
610,15209,14224,L5 IT
611,15156,14173,L5 IT
612,14533,14381,L5 IT
613,14506,14283,L5 IT
614,14466,14306,L5 IT
615,15986,14475,L5 IT
616,15724,14622,L5 IT
617,14839,14842,L5 IT
618,15415,11423,Oligo
619,17001,11666,Oligo
620,16164,12276,Oligo
621,17247,12602,Oligo
622,15826,12744,Oligo
623,17257,13056,Oligo
624,18860,13098,Oligo
625,13611,13375,Oligo
626,18310,13475,Oligo
627,18584,13711,Oligo
628,17285,14115,Oligo
629,16670,14175,Oligo
630,16591,14053,Oligo
631,15135,14599,Oligo
632,18321,12878,L6 PT
633,18869,13196,L6 PT
634,18317,13274,L6 PT
635,18556,13450,L6 PT
636,18030,13304,L6 PT
637,17924,13446,L6 PT
638,18065,13290,L6 PT
639,17977,13360,L6 PT
640,17298,13360,L6 PT
641,18300,13543,L6 PT
642,17885,13710,L6 PT
643,17964,13653,L6 PT
644,17368,13829,L6 PT
645,17555,13964,L6 PT
646,17631,13921,L6 PT
647,17693,13844,L6 PT
648,16903,13894,L6 PT
649,17108,13835,L6 PT
650,16938,13859,L6 PT
651,17084,13824,L6 PT
652,16414,13872,L6 PT
653,16661,13994,L6 PT
654,16637,14148,L6 PT
655,16811,14478,L6 PT
656,16342,14711,L6 PT
657,16407,14578,L6 PT
658,16048,14729,L6 PT
659,16037,14789,L6 PT
660,16085,14922,L6 PT
661,15348,15248,L6 PT
662,15462,15084,L6 PT
663,15382,15200,L6 PT
664,15543,15178,L6 PT
665,17756,10992,L6 IT
666,17590,11255,L6 IT
667,16981,11441,L6 IT
668,17024,11413,L6 IT
669,16473,11320,L6 IT
670,17917,11586,L6 IT
671,16160,11551,L6 IT
672,16118,11446,L6 IT
673,15505,11552,L6 IT
674,18378,11745,L6 IT
675,17619,11604,L6 IT
676,16420,11699,L6 IT
677,16313,11705,L6 IT
678,15669,11790,L6 IT
679,17940,11979,L6 IT
680,17396,11808,L6 IT
681,15532,11922,L6 IT
682,15469,12159,L6 IT
683,14782,12303,L6 IT
684,17015,12442,L6 IT
685,17118,12424,L6 IT
686,15091,12553,L6 IT
687,15127,12522,L6 IT
688,15207,12406,L6 IT
689,15390,12631,L6 IT
690,15462,12699,L6 IT
691,17680,12790,L6 IT
692,17651,12860,L6 IT
693,17666,12903,L6 IT
694,16930,12823,L6 IT
695,14471,12733,L6 IT
696,18647,12928,L6 IT
697,18710,12987,L6 IT
698,18546,13090,L6 IT
699,17980,12916,L6 IT
700,17867,12939,L6 IT
701,17304,12951,L6 IT
702,17316,12932,L6 IT
703,17322,13010,L6 IT
704,14047,13009,L6 IT
705,18191,13108,L6 IT
706,15082,13180,L6 IT
707,17390,13258,L6 IT
708,15456,13476,L6 IT
709,15535,13378,L6 IT
710,17645,13599,L6 IT
711,17921,13618,L6 IT
712,17261,13727,L6 IT
713,17426,13758,L6 IT
714,14103,13737,L6 IT
715,13574,13730,L6 IT
716,17026,14001,L6 IT
717,16367,13796,L6 IT
718,16358,13951,L6 IT
719,16493,13899,L6 IT
720,16401,13950,L6 IT
721,16394,13825,L6 IT
722,15808,13993,L6 IT
723,16623,14070,L6 IT
724,15776,14270,L6 IT
725,16040,14433,L6 IT
726,16007,14358,L6 IT
727,16053,14460,L6 IT
728,16087,14832,L6 IT
729,15485,14912,L6 IT
730,15434,14884,L6 IT
731,14844,14741,L6 IT
732,15656,15041,L6 IT
733,15754,15074,L6 IT
734,15723,14983,L6 IT
735,15466,15242,L6 IT
736,15669,15304,L6 IT
737,16750,11198,Sncg
738,17918,11934,Sncg
739,15672,12007,Sncg
740,17731,12838,Sncg
741,18357,13201,Sncg
742,15629,13180,Sncg
743,17712,10591,Pvalb
744,16998,10611,Pvalb
745,16421,11069,Pvalb
746,17333,11109,Pvalb
747,16051,11061,Pvalb
748,17614,11443,Pvalb
749,17642,11410,Pvalb
750,17571,11427,Pvalb
751,16916,11357,Pvalb
752,16392,11409,Pvalb
753,17851,11545,Pvalb
754,16084,11539,Pvalb
755,16942,11712,Pvalb
756,16345,11817,Pvalb
757,16394,11603,Pvalb
758,17875,11965,Pvalb
759,17946,11874,Pvalb
760,17239,11934,Pvalb
761,16117,11834,Pvalb
762,17585,12118,Pvalb
763,17020,12057,Pvalb
764,15740,11993,Pvalb
765,15793,12109,Pvalb
766,17933,12286,Pvalb
767,17301,12331,Pvalb
768,17249,12195,Pvalb
769,16644,12279,Pvalb
770,16616,12350,Pvalb
771,15464,12376,Pvalb
772,15503,12222,Pvalb
773,17746,12441,Pvalb
